J,J_index,j_max,label,max_null_power,mu,mu_index,n_mu,num_null_constraints,rho,rho_cutoff,rho_max,rho_over_max,setting_label
164.0,82,1000,c20_min,8,200.47427636072192,13,300,36,2.989188543263586e-07,1.0000504915154555e-08,1.0000504915154556,2.989037622224286e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
100.0,50,1000,c20_min,8,152.15739875209124,15,300,36,1.6512891160269005e-08,1.0000504915154555e-08,1.0000504915154556,1.6512057441465496e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
94.0,47,1000,c20_min,8,134.31225616704975,16,300,36,4.5914742189747154e-08,1.0000504915154555e-08,1.0000504915154556,4.591242400188106e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
134.0,67,1000,c20_min,8,134.31225616704975,16,300,36,2.081009531717451e-07,1.0000504915154555e-08,1.0000504915154556,2.0809044636975607e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
88.0,44,1000,c20_min,8,119.43797907587611,17,300,36,1.3925917491868178e-05,1.0000504915154555e-08,1.0000504915154556,1.392521438669075e-05,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
78.0,39,1000,c20_min,8,96.25941043282583,19,300,36,3.584747872514492e-08,1.0000504915154555e-08,1.0000504915154556,3.584566882300353e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
74.0,37,1000,c20_min,8,87.12916794016796,20,300,36,6.875860430178629e-08,1.0000504915154555e-08,1.0000504915154556,6.875513275093835e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
70.0,35,1000,c20_min,8,79.24305195550835,21,300,36,1.2045365332377527e-08,1.0000504915154555e-08,1.0000504915154556,1.2044757174334501e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
68.0,34,1000,c20_min,8,72.38488013012521,22,300,36,5.686410292296362e-05,1.0000504915154555e-08,1.0000504915154556,5.686123191319365e-05,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
64.0,32,1000,c20_min,8,66.38346437381976,23,300,36,6.804531384184359e-07,1.0000504915154555e-08,1.0000504915154556,6.804187830429356e-07,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
56.0,28,1000,c20_min,8,52.27570458985148,26,300,36,3.7671464191325396e-08,1.0000504915154555e-08,1.0000504915154556,3.766956219804347e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
52.0,26,1000,c20_min,8,45.24171894726835,28,300,36,4.0520688677350876e-08,1.0000504915154555e-08,1.0000504915154556,4.0518642829670207e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
50.0,25,1000,c20_min,8,42.248892719135135,29,300,36,1.1429501933242442e-08,1.0000504915154555e-08,1.0000504915154556,1.1428924869505754e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
30.0,15,1000,c20_min,8,19.613145562813333,43,300,36,0.00010331224233881971,1.0000504915154555e-08,1.0000504915154556,0.00010330702621050914,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
28.0,14,1000,c20_min,8,17.956099023866297,45,300,36,0.000162912211845088,1.0000504915154555e-08,1.0000504915154556,0.00016290398657593203,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
26.0,13,1000,c20_min,8,16.503980421105855,47,300,36,6.747584285494358e-08,1.0000504915154555e-08,1.0000504915154556,6.747243606939496e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
26.0,13,1000,c20_min,8,15.844373149040925,48,300,36,1.8518757412238422e-08,1.0000504915154555e-08,1.0000504915154556,1.8517822419321533e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
24.0,12,1000,c20_min,8,15.224351498358418,49,300,36,1.5619900080008077e-08,1.0000504915154555e-08,1.0000504915154556,1.5619111447401027e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
24.0,12,1000,c20_min,8,14.640811546648951,50,300,36,1.2323528628862851e-08,1.0000504915154555e-08,1.0000504915154556,1.2322906426642553e-08,"$N_\mu=300, J_{\max}=1000, 36$ nulls"
